time_key,col,auc,n
201811,te_purpose_home,0.5887949260042283,482
201812,te_purpose_home,0.3239316239316239,356
201601,te_subGrade,0.504663874917841,8316
201602,te_subGrade,0.5151352206985785,10254
201603,te_subGrade,0.48869460292641825,14575
201604,te_subGrade,0.48912296831737573,7093
201605,te_subGrade,0.48222109118396467,5261
201606,te_subGrade,0.5124640913717071,6098
201607,te_subGrade,0.5159355678037983,6453
201608,te_subGrade,0.5125900807656953,6697
201609,te_subGrade,0.506340616674036,5029
201610,te_subGrade,0.47064501517323937,5582
201611,te_subGrade,0.48040250967692966,5713
201612,te_subGrade,0.46742710468787546,5890
201701,te_subGrade,0.47285506188688314,4876
201702,te_subGrade,0.4870150381818656,4060
201703,te_subGrade,0.48632465000886055,4988
201704,te_subGrade,0.4859168708627436,3881
201705,te_subGrade,0.493880538298651,4871
201706,te_subGrade,0.4940616284880628,4553
201707,te_subGrade,0.4786004234293016,4366
201708,te_subGrade,0.5017755630376614,4610
201709,te_subGrade,0.5006593825140819,3963
201710,te_subGrade,0.4814445938393949,3576
201711,te_subGrade,0.4898995761663716,3636
201712,te_subGrade,0.48723680568861644,2909
201801,te_subGrade,0.4922312330226764,2629
201802,te_subGrade,0.5110216565883843,2057
201803,te_subGrade,0.5201443262825757,2118
201804,te_subGrade,0.4833843064565956,2050
201805,te_subGrade,0.5059262725596468,1979
201806,te_subGrade,0.4912899750490421,1456
201807,te_subGrade,0.473865807633395,1282
201808,te_subGrade,0.48643722338690887,1044
201809,te_subGrade,0.47397929073448153,711
201810,te_subGrade,0.6109716294250565,597
201811,te_subGrade,0.4157857646229739,482
201812,te_subGrade,0.7378917378917378,356
201601,woe_credit_hist_mon,0.5399336036865096,8316
201602,woe_credit_hist_mon,0.5325922842706303,10254
201603,woe_credit_hist_mon,0.5235648463879972,14575
201604,woe_credit_hist_mon,0.5364892147123682,7093
201605,woe_credit_hist_mon,0.5537335009638881,5261
201606,woe_credit_hist_mon,0.5287608326129203,6098
201607,woe_credit_hist_mon,0.5322897794100683,6453
